Subject Area,Mapping Name,Component Type,Component Name,Port Name,Data Type,Unused/Unconnected Mapping,Precision,Scale,Column Sequence No,Input,Output,Group Name,Variable,Lookup,Return Value,Group Filter Condition,Sort Key,Direction,Expression,Group By,Sequence,Master,Default Value,Target Load Plan,Description,Target Key Type,Target Not Null
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,KEY_FIELD_FIRST,string,NO,9,0,1.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,NONKEY_FIELD_FIRST,string,NO,9,0,2.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,KEY_FIELD_SECOND,string,NO,26,0,3.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,NONKEY_FIELD_SECOND,string,NO,358,0,4.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,KEY_FIELD_THIRD,string,NO,12,0,5.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,NONKEY_FIELD_THIRD,string,NO,411,0,6.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,DTL_ACTION,string,NO,1,0,7.0,YES,,,,,,,,,,,,,,1.0,,NOT A KEY,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_PREV,DATA,string,NO,826,0,1.0,,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_CURR,DATA,string,NO,826,0,1.0,,YES,,,,,,,,,,,,,,,,
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,DATA,string,NO,826,0,,YES,,,,,,,,,,,,,,,,,
