Subject Area,Mapping Name,Component Type,Component Name,Property Type,Property Value,Reusable,Unused/Unconnected Mapping
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,Datetime Format,A  19 mm/dd/yyyy hh24:mi:ss,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,Thousand Separator,,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Target Definition,Member_Diary_delta_ff,Decimal Separator,.,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_PREV,Datetime Format,A  19 mm/dd/yyyy hh24:mi:ss,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_PREV,Decimal Separator,.,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_PREV,Add Currently Processed Flat File Name Port,NO,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_PREV,Thousand Separator,,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_CURR,Add Currently Processed Flat File Name Port,NO,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_CURR,Decimal Separator,.,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_CURR,Thousand Separator,,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Definition,tstcall_trk_CURR,Datetime Format,A  19 mm/dd/yyyy hh24:mi:ss,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,Tracing Level,Normal,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Expression,EXP_tstcall_trk_PREV,Description,This transformation is used to extract �??KEY_FIELD�?? and �??NONKEY_FIELD�?? Fields from the Source �??DATA�?? Column.,NO,NO
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,Filter,FIL_tstcall_trk,Tracing Level,Normal,NO,NO
