Subject Area,Entity Type,Entity Name,Parameter/Variable,Parameters/Variable name,DataType,Precision,Scale,Persistence,IsExprVar,Initial Value/Default Value,ISNULL
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Parameter,$$SQ_FILTER,string,100000.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Parameter,$$SQ_JOIN,string,100000.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Parameter,$$LAST_RUN_DATE,string,100000.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Parameter,$$DTL_ACTION,string,1.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,Parameter,$$SQ_JOIN,string,100000.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,Parameter,$$SQ_FILTER,string,100000.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,Parameter,$$DTL_ACTION,string,1.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_Transfer_SOR_MF_HDFS_TRIGGER,Parameter,$$Data_file_count_map,string,50.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Mapping,m_Transfer_SOR_MF_HDFS_TRIGGER,Parameter,$$Counter_value,string,20.0,0.0,,NO,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Trigger_DIR,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Data_FILE,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Data_DIR,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Data_file_count,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Counter_value,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$FailureEmailSubject,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Current_Source_FILE,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Previous_Source_FILE,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Data_ERR_FILE_FULLOAD,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$SCHEMA_NAME,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Data_ERR_FILE_DELTA,nstring,,,NO,,,NO
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Variable,$$Trigger_ERR_FILE,nstring,,,NO,,,NO
