Subject Area,Parent Type,Parent Name,Workflow/Worklet,Workflow Name/Worklet Name,Mapping Name,Session Name,Source/Target Instances,Reader/Writer(Session),Session Connection Type = Connection Value,Database Type(Mapping),Source/Target Type,Source/Target Table Name(Original),Property Name,Value,Initial Value From Mapping Parameter
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Source file directory,$PMSourceFileDir,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Input Type,File,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Concurrent read partitioning,Optimize throughput,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Source filetype,Direct,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,File Reader Truncate String Null,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Source filename,$InputFileName,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Number Of Sorted Ports,0,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,User Defined Join,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Pre SQL,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Add Currently Processed Flat File Name Port,NO,
