Subject Area,Workflow Name,Property Type,Property Value
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Comments,These workflows are created from the Workflow Generation Wizard.
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Suspend On Error,NO
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Workflow Enabled,YES
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Web Services,NO
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Parameter Filename,/work/EDMS/CSC_GroupLife/StarTrak/Param/EDMS_StarTrak_Member_Diary_Delta_Param.prm
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Write Backward Compatible Workflow Log File,YES
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Workflow Log File Name,wf_STARTRAK_Member_Diary_Delta_Data_Extraction.log
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Workflow Log File Directory,$PMWorkflowLogDir\
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Save Workflow log by,By runs
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Save workflow log for these runs,0
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Service Name,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Timeout (Seconds),0
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Is Service Visible,NO
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Is Service Protected,NO
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Fail task after wait time,0
