Subject Area,Workflow Name,From Task Type,From Task Name,To Task Type,To Task Name,Condition(s)
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Assignment,Assignment,Session,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,$Assignment.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Start,Start,Session,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Assignment,Assignment,$s_m_STARTRAK_Member_Diary_Delta_Data_Extraction.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Session,s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,$s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,Session,s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction,$s_m_STARTRAK_Member_Conditions_Active_One_Time_Extraction.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction,Assignment,Assignment,$s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Assignment,Assignment,Session,s_m_Transfer_HDFS_Member_Member_Active_Onetime_TRIGGER,$Assignment.Status = SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Start,Start,Session,s_m_STARTRAK_Member_Conditions_Active_One_Time_Extraction,
MetLife_p2_CSC_GroupLife,wf_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,Assignment,Assignment,Session,s_m_Transfer_HDFS_ACCOUNTING_Onetime_TRIGGER,$Assignment.Status=SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,Session,s_m_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,Assignment,Assignment,$s_m_GBS_CONTROL_ACCOUNTING_One_Time_Extraction.Status = SUCCEEDED
MetLife_p2_CSC_GroupLife,wf_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,Start,Start,Session,s_m_GBS_CONTROL_ACCOUNTING_One_Time_Extraction,
MetLife_p2_IB_OPAS_UDX,wkf_m_load_all_accord,Session,s_m_load_ods_all_accord,Session,s_m_T_INS_POL_TRAN_Rejected_Records,$s_m_load_ods_all_accord.Status=Succeeded
MetLife_p2_IB_OPAS_UDX,wkf_m_load_all_accord,Start,Start,Session,s_m_load_ods_all_accord,
MetLife_p2_IB_OPAS_UDX,wkf_m_load_all_accord,Session,s_m_load_ods_all_accord,Session,s_m_update_opas_all_accord,"$s_m_load_ods_all_accord.Status=SUCCEEDED_x000D_
and $s_m_load_ods_all_accord.TgtSuccessRows > 0"
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Session,s_m_delete_ods_acord_1203,Session,s_m_load_ods_acord_1203,$s_m_delete_ods_acord_1203.Status = SUCCEEDED
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Session,s_m_load_opas_input_1203,Session,s_m_load_opas_output_1203,$s_m_load_opas_input_1203.Status = SUCCEEDED AND $s_m_load_opas_input_1203.TgtSuccessRows > 0
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Session,s_m_load_opas_output_1203_Agent,Session,s_m_delete_ods_acord_1203,$s_m_load_opas_output_1203_Agent.Status = SUCCEEDED AND $s_m_load_opas_output_1203_Agent.TgtSuccessRows = 1
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Session,s_m_load_ods_acord_1203,Session,s_m_update_opas_1203,$s_m_load_ods_acord_1203.TgtSuccessRows > 0 AND $s_m_load_ods_acord_1203.Status = SUCCEEDED
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Session,s_m_load_opas_output_1203,Session,s_m_load_opas_output_1203_Agent,$s_m_load_opas_output_1203.Status = SUCCEEDED AND $s_m_load_opas_output_1203.TgtSuccessRows = 1
MetLife_p2_IB_OPAS_UDX,wkf_load_ods_1203,Start,Start,Session,s_m_load_opas_input_1203,
MetLife_p2_IB_OPAS_UDX,wkf_s_m_load_T_SCHED_VAL_CVR_EX,Start,Start,Session,s_m_load_T_SCHED_VAL_CVR_EX,
MetLife_p2_RAD_APP11538_GVWB_LNOX,wf_m_LENOX_token_creation_for_getplatform,Start,Start,Session,s_m_LENOX_token_creation_for_getplatform,
MetLife_p2_RAD_APP11538_GVWB_LNOX,wf_m_LENOX_GVUL_ACCORD_XML,Start,Start,Session,s_m_LENOX_GVUL_ACCORD_XML,
MetLife_p2_RAD_APP11538_GVWB_LNOX,wf_m_LENOX_IDI_FTP,Start,Start,Session,s_m_LENOX_IDI_FTP,
