Subject Area,Workflow Name,TaskType,Task Name,Original Task Name,Properties Name,Properties Value,Task Reusable,Fail Parent if task fails,Fail Parent if task does not run,Disable Task,Treat the input links,Resolved Param Value
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Session,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,Description,Populate Trigger file to HDFS on successful transmission of data file. The trigger file will contain the record count of data file and corresponding counter value.,NO,YES,NO,NO,AND,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Description,,NO,YES,NO,NO,AND,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Assignment,Assignment,Assignment,User defined variable,$$Data_file_count='0',NO,YES,NO,NO,AND,$$Data_file_count='0'
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Assignment,Assignment,Assignment,User defined variable,$$Data_file_count=$s_m_STARTRAK_Member_Diary_Delta_Data_Extraction.TgtSuccessRows,NO,YES,NO,NO,AND,$$Data_file_count=$s_m_STARTRAK_Member_Diary_Delta_Data_Extraction.TgtSuccessRows
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Assignment,Assignment,Assignment,Description,Assign the Data file success record count to variable.,NO,YES,NO,NO,AND,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Description,,NO,YES,NO,NO,AND,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Session,s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction,s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction,Description,,NO,YES,NO,NO,AND,
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Assignment,Assignment,Assignment,User defined variable,$$Data_file_count='0',NO,YES,NO,NO,AND,$$Data_file_count='0'
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Assignment,Assignment,Assignment,User defined variable,$$Data_file_count=$s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction.TgtSuccessRows,NO,YES,NO,NO,AND,$$Data_file_count=$s_m_STARTRAK_Member_Conditions_Active_Delta_Data_Extraction.TgtSuccessRows
MetLife_p2_CSC_GroupLife,wf_STARTRAK_Member_Conditions_Delta_Data_Extraction,Assignment,Assignment,Assignment,Description,Assign the Data file success record count to variable.,NO,YES,NO,NO,AND,
