Subject Area,Mapping Name,Object Name(SQL/Lookup/SQ),Object Type(SQL/Lookup/SQ),Location(Workflow_Worklet Name/Session Name),Attribute,Query,Number of Lines
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_CURR,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Filter,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_CURR,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,User Defined Join,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_CURR,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sql Query,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_PREV,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Source Filter,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_PREV,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,User Defined Join,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,SQ_tstcall_trk_PREV,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Sql Query,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Delta_Data_Extraction,LKP_arc_tstcall_trk,Lookup Procedure,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Delta_Data_Extraction,Lookup Sql Override,,0
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Source Filter,"SELECT calr_id,apl_tin,call_dt,cust_id,calr_lst_nm,calr_frst_nm,calr_mid_nm,calr_cntry_cd,calr_area_cd,calr_xchg_cd,calr_ln_cd,calr_ext_cd,calr_ctgy_cd,call_typ_cd,cust_met_crrs_id,rslv_dt,loc_call_recd_cd,call_dtls_txt_cd,call_trk_cust_name,crt_id,crt_ts,updt_id,updt_ts,rplc_svr_del_ind,rplc_svr_own_id,rplc_svr_updt_ts,calr_intl_num,calr_id1,call_trk_txt_typ_cd,call_trk_txt_seq_num,call_trk_txt,crt_id1,crt_ts1,updt_id1,updt_ts1,rplc_svr_del_ind1,rplc_svr_own_id1,rplc_svr_updt_ts1 FROM tstcall_trk,tstcall_trk_txt WHERE $$SQ_FILTER",1
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,User Defined Join,"SELECT calr_id,apl_tin,call_dt,cust_id,calr_lst_nm,calr_frst_nm,calr_mid_nm,calr_cntry_cd,calr_area_cd,calr_xchg_cd,calr_ln_cd,calr_ext_cd,calr_ctgy_cd,call_typ_cd,cust_met_crrs_id,rslv_dt,loc_call_recd_cd,call_dtls_txt_cd,call_trk_cust_name,crt_id,crt_ts,updt_id,updt_ts,rplc_svr_del_ind,rplc_svr_own_id,rplc_svr_updt_ts,calr_intl_num,calr_id1,call_trk_txt_typ_cd,call_trk_txt_seq_num,call_trk_txt,crt_id1,crt_ts1,updt_id1,updt_ts1,rplc_svr_del_ind1,rplc_svr_own_id1,rplc_svr_updt_ts1 FROM tstcall_trk,tstcall_trk_txt WHERE $$SQ_JOIN",1
MetLife_p2_CSC_GroupLife,m_STARTRAK_Member_Diary_Active_One_Time_Extraction,SQ_tstcall_trk,Source Qualifier,wf_STARTRAK_Member_Diary_Delta_Data_Extraction/s_m_STARTRAK_Member_Diary_Active_One_Time_Extraction,Sql Query,,0
