"Subject Area","Workflow Name","TaskType","Task Name","Original Task Name","Property Name","Properties Values","Task Reusable","Fail Parent if task fails","Fail Parent if task does not run","Disable Task","Treat the input links","Un-Connected Task","Resolved Param Value"
"Demo","wf_mp_Claims_Reports_Demo","Start","Start","Start","DESCRIPTION","","NO","","","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Start","Start","Start","NAME","Start","NO","","","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Start","Start","Start","REUSABLE","NO","NO","","","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Start","Start","Start","TYPE","Start","NO","","","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Start","Start","Start","VERSIONNUMBER","1","NO","","","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","DESCRIPTION","","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","ISVALID","YES","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","MAPPINGNAME","mp_Claims_Reports_Demo","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","NAME","s_mp_Claims_Reports_Demo","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","REUSABLE","NO","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","SORTORDER","Binary","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","VERSIONNUMBER","1","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","General Options","","NO","YES","NO","NO","","",""
"Demo","wf_mp_Claims_Reports_Demo","Session","s_mp_Claims_Reports_Demo","s_mp_Claims_Reports_Demo","Write Backward Compatible Session Log File","NO","NO","YES","NO","NO","","",""
