Subject Area,Workflow Name,Property Type,Property Value
Demo,wf_mp_Claims_Reports_Demo,DESCRIPTION,These workflows are created from the Workflow Generation Wizard.
Demo,wf_mp_Claims_Reports_Demo,ISENABLED,YES
Demo,wf_mp_Claims_Reports_Demo,ISRUNNABLESERVICE,NO
Demo,wf_mp_Claims_Reports_Demo,ISSERVICE,NO
Demo,wf_mp_Claims_Reports_Demo,ISVALID,YES
Demo,wf_mp_Claims_Reports_Demo,NAME,wf_mp_Claims_Reports_Demo
Demo,wf_mp_Claims_Reports_Demo,REUSABLE_SCHEDULER,NO
Demo,wf_mp_Claims_Reports_Demo,SCHEDULERNAME,Scheduler
Demo,wf_mp_Claims_Reports_Demo,SERVERNAME,PCIS_BW_INFA_ENT
Demo,wf_mp_Claims_Reports_Demo,SERVER_DOMAINNAME,DOM_BW_INFA_ENT
Demo,wf_mp_Claims_Reports_Demo,SUSPEND_ON_ERROR,NO
Demo,wf_mp_Claims_Reports_Demo,TASKS_MUST_RUN_ON_SERVER,NO
Demo,wf_mp_Claims_Reports_Demo,VERSIONNUMBER,1
Demo,wf_mp_Claims_Reports_Demo,SCHEDULER_DESCRIPTION,
Demo,wf_mp_Claims_Reports_Demo,SCHEDULER_NAME,Scheduler
Demo,wf_mp_Claims_Reports_Demo,SCHEDULER_REUSABLE,NO
Demo,wf_mp_Claims_Reports_Demo,SCHEDULER_VERSIONNUMBER,1
Demo,wf_mp_Claims_Reports_Demo,SCHEDULEINFO_SCHEDULETYPE,ONDEMAND
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_DESCRIPTION,
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_ISENABLED,YES
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_NAME,Start
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_REUSABLE,NO
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_TASKNAME,Start
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_Start_TASKTYPE,Start
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_DESCRIPTION,
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_FAIL_PARENT_IF_INSTANCE_DID_NOT_RUN,NO
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_FAIL_PARENT_IF_INSTANCE_FAILS,YES
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_ISENABLED,YES
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_NAME,s_mp_Claims_Reports_Demo
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_REUSABLE,NO
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_TASKNAME,s_mp_Claims_Reports_Demo
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_TASKTYPE,Session
Demo,wf_mp_Claims_Reports_Demo,TASKINSTANCE_s_mp_Claims_Reports_Demo_TREAT_INPUTLINK_AS_AND,YES
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWLINK_Start_s_mp_Claims_Reports_Demo_CONDITION,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWLINK_Start_s_mp_Claims_Reports_Demo_FROMTASK,Start
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWLINK_Start_s_mp_Claims_Reports_Demo_TOTASK,s_mp_Claims_Reports_Demo
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_DATATYPE,date/time
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_DESCRIPTION,The time this task started
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_NAME,$Start.StartTime
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.StartTime_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_DATATYPE,date/time
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_DESCRIPTION,The time this task completed
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_NAME,$Start.EndTime
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.EndTime_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_DESCRIPTION,Status of this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_NAME,$Start.Status
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.Status_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_DATATYPE,integer
